OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,CBS_ID,HLCIT_ID,PCODE
131,Belaka Nagarpalika,UDAYAPUR,Belaka,Nagarpalika,1,11401.0,524 1 14 3 004,NP0114304
132,Chaudandigadhi Nagarpalika,UDAYAPUR,Chaudandigadhi,Nagarpalika,1,11402.0,524 1 14 3 003,NP0114303
133,Katari Nagarpalika,UDAYAPUR,Katari,Nagarpalika,1,11407.0,524 1 14 3 001,NP0114301
134,Rautamai Gaunpalika,UDAYAPUR,Rautamai,Gaunpalika,1,11404.0,524 1 14 4 004,NP0114404
135,Sunkoshi Gaunpalika,UDAYAPUR,Sunkoshi,Gaunpalika,1,11405.0,524 1 14 4 002,NP0114402
136,Tapli Gaunpalika,UDAYAPUR,Tapli,Gaunpalika,1,11406.0,524 1 14 4 001,NP0114401
137,Triyuga Nagarpalika,UDAYAPUR,Triyuga,Nagarpalika,1,11403.0,524 1 14 3 002,NP0114302
138,Udayapurgadhi Gaunpalika,UDAYAPUR,Udayapurgadhi,Gaunpalika,1,11408.0,524 1 14 4 003,NP0114403
139,Koshi Tappu Wildlife Reserve,UDAYAPUR,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,,524 1 14 5 995,NP0114595
140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,20103.0,524 2 15 4 002,NP0215402
141,Balan Bihul Gaunpalika,SAPTARI,Balan Bihul,Gaunpalika,2,20108.0,524 2 15 4 004,NP0215404
142,Belhi Chapena Gaunpalika,SAPTARI,Belhi Chapena,Gaunpalika,2,20111.0,524 2 15 4 006,NP0215406
143,Bishnupur Gaunpalika,SAPTARI,Bishnupur,Gaunpalika,2,20112.0,524 2 15 4 007,NP0215407
144,Bode Barsain Nagarpalika,SAPTARI,Bode Barsain,Nagarpalika,2,20109.0,524 2 15 3 006,NP0215306
145,Chhinnamasta Gaunpalika,SAPTARI,Chhinnamasta,Gaunpalika,2,20118.0,524 2 15 4 008,NP0215408
146,Dakneshwori Nagarpalika,SAPTARI,Dakneshwori,Nagarpalika,2,20110.0,524 2 15 3 007,NP0215307
147,Hanumannagar Kankalini Nagarpalika,SAPTARI,Hanumannagar Kankalini,Nagarpalika,2,20116.0,524 2 15 3 009,NP0215309
148,Kanchanrup Nagarpalika,SAPTARI,Kanchanrup,Nagarpalika,2,20102.0,524 2 15 3 005,NP0215305
149,Khadak Nagarpalika,SAPTARI,Khadak,Nagarpalika,2,20106.0,524 2 15 3 002,NP0215302
150,Mahadeva Gaunpalika,SAPTARI,Mahadeva,Gaunpalika,2,20114.0,524 2 15 4 005,NP0215405
151,Rajbiraj Nagarpalika,SAPTARI,Rajbiraj,Nagarpalika,2,20113.0,524 2 15 3 008,NP0215308
152,Rupani Gaunpalika,SAPTARI,Rupani,Gaunpalika,2,20104.0,524 2 15 4 001,NP0215401
153,Saptakoshi Nagarpalika,SAPTARI,Saptakoshi,Nagarpalika,2,20101.0,524 2 15 3 004,NP0215304
154,Shambhunath Nagarpalika,SAPTARI,Shambhunath,Nagarpalika,2,20105.0,524 2 15 3 003,NP0215303
155,Surunga Nagarpalika,SAPTARI,Surunga,Nagarpalika,2,20107.0,524 2 15 3 001,NP0215301
156,Tilathi Koiladi Gaunpalika,SAPTARI,Tilathi Koiladi,Gaunpalika,2,20117.0,524 2 15 4 009,NP0215409
157,Tirahut Gaunpalika,SAPTARI,Tirahut,Gaunpalika,2,20115.0,524 2 15 4 003,NP0215403
158,Koshi Tappu Wildlife Reserve,SAPTARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,2,,524 2 15 5 995,NP0215595
159,Arnama Gaunpalika,SIRAHA,Arnama,Gaunpalika,2,20209.0,524 2 16 4 003,NP0216403
160,Aurahi Gaunpalika,SIRAHA,Aurahi,Gaunpalika,2,20216.0,524 2 16 4 004,NP0216404
161,Bariyarpatti Gaunpalika,SIRAHA,Bariyarpatti,Gaunpalika,2,20215.0,524 2 16 4 005,NP0216405
162,Bhagawanpur Gaunpalika,SIRAHA,Bhagawanpur,Gaunpalika,2,20213.0,524 2 16 4 009,NP0216409
163,Bishnupur Gaunpalika,SIRAHA,Bishnupur,Gaunpalika,2,20208.0,524 2 16 4 002,NP0216402
