OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
77,Mahalaxmi Nagarpalika,Dhankuta,Mahalaxmi,Nagarpalika,1,1,524107,107,NP0107,10701,524 1 07 3 001,NP0107301
78,Pakhribas Nagarpalika,Dhankuta,Pakhribas,Nagarpalika,1,1,524107,107,NP0107,10702,524 1 07 3 002,NP0107302
79,Sangurigadhi Gaunpalika,Dhankuta,Sangurigadhi,Gaunpalika,1,1,524107,107,NP0107,10706,524 1 07 4 003,NP0107403
80,Aathrai Gaunpalika,Terhathum,Aathrai,Gaunpalika,1,1,524108,108,NP0108,10801,524 1 08 4 003,NP0108403
81,Chhathar Gaunpalika,Terhathum,Chhathar,Gaunpalika,1,1,524108,108,NP0108,10806,524 1 08 4 004,NP0108404
82,Laligurans Nagarpalika,Terhathum,Laligurans,Nagarpalika,1,1,524108,108,NP0108,10805,524 1 08 3 001,NP0108301
83,Menchayam Gaunpalika,Terhathum,Menchayam,Gaunpalika,1,1,524108,108,NP0108,10803,524 1 08 4 001,NP0108401
84,Myanglung Nagarpalika,Terhathum,Myanglung,Nagarpalika,1,1,524108,108,NP0108,10804,524 1 08 3 002,NP0108302
85,Phedap Gaunpalika,Terhathum,Phedap,Gaunpalika,1,1,524108,108,NP0108,10802,524 1 08 4 002,NP0108402
86,Bhotkhola Gaunpalika,Sankhuwasabha,Bhotkhola,Gaunpalika,1,1,524109,102,NP0109,10201,524 1 09 4 002,NP0109402
87,Chainpur Nagarpalika,Sankhuwasabha,Chainpur,Nagarpalika,1,1,524109,102,NP0109,10208,524 1 09 3 003,NP0109303
88,Chichila Gaunpalika,Sankhuwasabha,Chichila,Gaunpalika,1,1,524109,102,NP0109,10204,524 1 09 4 004,NP0109404
89,Dharmadevi Nagarpalika,Sankhuwasabha,Dharmadevi,Nagarpalika,1,1,524109,102,NP0109,10210,524 1 09 3 004,NP0109304
90,Khandbari Nagarpalika,Sankhuwasabha,Khandbari,Nagarpalika,1,1,524109,102,NP0109,10206,524 1 09 3 001,NP0109301
91,Madi Nagarpalika,Sankhuwasabha,Madi,Nagarpalika,1,1,524109,102,NP0109,10209,524 1 09 3 005,NP0109305
92,Makalu Gaunpalika,Sankhuwasabha,Makalu,Gaunpalika,1,1,524109,102,NP0109,10202,524 1 09 4 001,NP0109401
93,Panchakhapan Nagarpalika,Sankhuwasabha,Panchakhapan,Nagarpalika,1,1,524109,102,NP0109,10207,524 1 09 3 002,NP0109302
94,Sabhapokhari Gaunpalika,Sankhuwasabha,Sabhapokhari,Gaunpalika,1,1,524109,102,NP0109,10205,524 1 09 4 005,NP0109405
95,Silichong Gaunpalika,Sankhuwasabha,Silichong,Gaunpalika,1,1,524109,102,NP0109,10203,524 1 09 4 003,NP0109403
96,Aamchowk Gaunpalika,Bhojpur,Aamchowk,Gaunpalika,1,1,524110,106,NP0110,10609,524 1 10 4 006,NP0110406
97,Arun Gaunpalika,Bhojpur,Arun,Gaunpalika,1,1,524110,106,NP0110,10605,524 1 10 4 003,NP0110403
98,Bhojpur Nagarpalika,Bhojpur,Bhojpur,Nagarpalika,1,1,524110,106,NP0110,10604,524 1 10 3 002,NP0110302
99,Hatuwagadhi Gaunpalika,Bhojpur,Hatuwagadhi,Gaunpalika,1,1,524110,106,NP0110,10608,524 1 10 4 007,NP0110407
100,Pauwadungma Gaunpalika,Bhojpur,Pauwadungma,Gaunpalika,1,1,524110,106,NP0110,10606,524 1 10 4 005,NP0110405
101,Ramprasad Rai Gaunpalika,Bhojpur,Ramprasad Rai,Gaunpalika,1,1,524110,106,NP0110,10607,524 1 10 4 004,NP0110404
102,Salpasilichho Gaunpalika,Bhojpur,Salpasilichho,Gaunpalika,1,1,524110,106,NP0110,10602,524 1 10 4 001,NP0110401
103,Shadananda Nagarpalika,Bhojpur,Shadananda,Nagarpalika,1,1,524110,106,NP0110,10601,524 1 10 3 001,NP0110301
104,Tyamkemaiyung Gaunpalika,Bhojpur,Tyamkemaiyung,Gaunpalika,1,1,524110,106,NP0110,10603,524 1 10 4 002,NP0110402
105,Thulung Dudhkoshi Gaunpalika,Solukhumbu,Thulung Dudhkoshi,Gaunpalika,1,1,524111,103,NP0111,10305,524 1 11 4 006,NP0111406
106,Dudhkoshi Gaunpalika,Solukhumbu,Dudhkoshi,Gaunpalika,1,1,524111,103,NP0111,10304,524 1 11 4 004,NP0111404
107,Khumbupasanglahmu Gaunpalika,Solukhumbu,Khumbupasanglahmu,Gaunpalika,1,1,524111,103,NP0111,10301,524 1 11 4 001,NP0111401
108,Likhupike Gaunpalika,Solukhumbu,Likhupike,Gaunpalika,1,1,524111,103,NP0111,10308,524 1 11 4 003,NP0111403
